id,company,website,linkedin,twitter,funding,product_summary,overall_score,ai_native_score,interestingness_score,resume_fit_score,hiring_likelihood_score,learning_challenge_score,logistics_score,hiring_status,hiring_evidence,remote_india_fit,research_confidence,tags,evidence_urls,message_short,message_founder
209,Ocular AI,https://useocular.com,https://www.linkedin.com/company/use-ocular,https://x.com/OcularHQ,,"Ocular AI appears to have AI-related signals, but needs website research for confirmation.",59.0,8,7,2,8,6,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,AI-native; Hiring signal,,,
59,Mulligan,https://usemulligan.com,https://www.linkedin.com/company/pyq-inc/,https://twitter.com/araghuvanshi2,,"Mulligan appears to have AI-related signals, but needs website research for confirmation.",51.0,8,6,6,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native; Strong resume fit,,,
190,Superagent,https://superagent.sh/,https://www.linkedin.com/company/superagent-sh/,https://twitter.com/superagent_ai,,"Superagent appears to have AI-related signals, but needs website research for confirmation.",48.0,8,7,4,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
192,Dragoneye,https://dragoneye.ai/,https://www.linkedin.com/company/dragoneyeai,,,"Dragoneye appears to have AI-related signals, but needs website research for confirmation.",48.0,8,7,4,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1146,Kura AI,https://trykura.com,https://www.linkedin.com/company/kura-ai,https://x.com/KuraAIAgents,,"Kura AI appears to have AI-related signals, but needs website research for confirmation.",48.0,10,7,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1491,Wildcard,https://wild-card.ai,https://www.linkedin.com/company/wild-card-ai,https://x.com/wildcard_ai,,"Wildcard appears to have AI-related signals, but needs website research for confirmation.",48.0,10,7,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
76,Outerbase,https://www.outerbase.com,https://www.linkedin.com/company/outerbase,https://www.twitter.com/burcs,,"Outerbase appears to have AI-related signals, but needs website research for confirmation.",47.0,4,5,2,8,6,6,Yes,Relevant engineering/AI/software hiring language found.,Remote/India-friendly signals found.,4,Hiring signal; Remote/India signal,,,
205,Buster,http://buster.so,https://www.linkedin.com/company/usebuster/,https://x.com/dalbentley,,"Buster appears to have AI-related signals, but needs website research for confirmation.",47.0,6,6,0,8,6,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,AI-native; Hiring signal,,,
230,Brainbase Labs,https://brainbaselabs.com,https://www.linkedin.com/company/usebrainbase,https://twitter.com/BrainbaseHQ,,"Brainbase Labs appears to have AI-related signals, but needs website research for confirmation.",46.0,8,6,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1099,Cartage,https://cartage.ai,https://www.linkedin.com/company/cartage-ai,,,"Cartage appears to have AI-related signals, but needs website research for confirmation.",46.0,8,6,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1263,Activeloop,https://activeloop.ai/,https://www.linkedin.com/company/activeloop,https://twitter.com/activeloopai,,"Activeloop appears to have AI-related signals, but needs website research for confirmation.",46.0,8,6,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
8,Melder,https://melder.io,https://www.linkedin.com/company/melderai/,https://x.com/AshwinDharne,,"Melder appears to have AI-related signals, but needs website research for confirmation.",45.0,6,5,0,8,4,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,AI-native; Hiring signal,,,
1515,Overstand Labs,https://overstandlabs.com,https://www.linkedin.com/company/overstand-labs/,https://x.com/OverstandLabs,,"Overstand Labs appears to have AI-related signals, but needs website research for confirmation.",45.0,6,5,0,8,4,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,AI-native; Hiring signal,,,
17,Origami,https://origami.chat/,https://www.linkedin.com/company/origamiagents/,https://x.com/fin465,,"Origami appears to have AI-related signals, but needs website research for confirmation.",44.0,6,5,6,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native; Strong resume fit,,,
514,Secoda,https://secoda.co,https://www.linkedin.com/company/secodahq,https://twitter.com/SecodaHQ,,"Secoda appears to have AI-related signals, but needs website research for confirmation.",43.0,4,4,2,8,4,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,Hiring signal,,,
757,Maya Labs,https://mayalabs.io,https://www.linkedin.com/in/sibeshkar/,https://twitter.com/MayaLabsIO,,"Maya Labs appears to have AI-related signals, but needs website research for confirmation.",43.0,8,6,2,1,2,6,No,No current relevant hiring evidence found in fetched text.,Remote/India-friendly signals found.,4,AI-native; Remote/India signal,,,
141,Velos,https://www.tryvelos.com,https://www.linkedin.com/company/tryvelos/,,,"Velos appears to have AI-related signals, but needs website research for confirmation.",41.0,8,6,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
